route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
R28,5602319018179,9018179, ,910336,0, , 
RE_1,5602409018185,9018185, ,900038,0, , 
R22,5605659018412,9018412, ,900082,0, , 
S4,5607749018556,9018556, ,900762,0, , 
R16,5608319018598,9018598, ,900636,0, , 
R22,5603319015665,9015665, ,911012,0, , 
XP1,5604229018311,9018311, ,900384,0, , 
R22,5605579018406,9018406, ,910060,0, , 
S3,5606519018477,9018477, ,900859,0, , 
S3,5607039018512,9018512, ,900871,0, , 
R28,5601769018124,9018124, ,910348,0, , 
S3,5603519018262,9018262, ,900878,0, , 
R27,5604649018336,9018336, ,900266,0, , 
S3,5630019019958,9019958, ,900801,0, , 
S3,5607639018550,9018550, ,900872,0, , 
R9,5609189018655,9018655, ,900248,0, , 
RE_3,5609679018685,9018685, ,900039,0, , 
S11,5597629017799,9017799, ,25067,0, , 
S6,5616109019086,9019086, ,10682,0, , 
R3,5609929016189,9016189, ,901013,0, , 
RE_1,5605879018429,9018429, ,900075,0, , 
R17,5603389018252,9018252, ,900122,0, , 
R3,5609419013297,9013297, ,901076,0, , 
R9,5609379016148,9016148, ,901213,0, , 
XP2,5601649018111,9018111, ,910346,0, , 
XP1,5608889018637,9018637, ,900309,0, , 
S6,5621409019427,9019427, ,10605,0, , 
R22,5602649012650,9012650, ,902015,0, , 
S3,5604239018312,9018312, ,900829,0, , 
R3,5609479018672,9018672, ,900033,0, , 
R21,5620159019348,9019348, ,20305,0, , 
S11,5625209019656,9019656, ,25030,0, , 
S4,5607789018560,9018560, ,900717,0, , 
R9,5609139018652,9018652, ,900271,0, , 
S11,5616249019097,9019097, ,25054,0, , 
R28,5602159018163,9018163, ,910332,0, , 
R17,5603609015689,9015689, ,901174,0, , 
R17,5608929013253,9013253, ,902121,0, , 
R28,5602239018171,9018171, ,910310,0, , 
R17,5606759018494,9018494, ,900149,0, , 
S4,5607729018554,9018554, ,900787,0, , 
R27,5608359018602,9018602, ,900279,0, , 
XP1,5608439018608,9018608, ,900351,0, , 
S3,5608869018636,9018636, ,900885,0, , 
S4,5603869018287,9018287, ,900769,0, , 
XP1,5604439018322,9018322, ,900304,0, , 
S6,5619619019317,9019317, ,10662,0, , 
R6,5622219019477,9019477, ,10485,0, , 
R17,5602859018210,9018210, ,900126,0, , 
S3,5603369018250,9018250, ,900838,0, , 
S3,5605059018369,9018369, ,900834,0, , 
R22,5606199018450,9018450, ,910089,0, , 
XP1,5606789018496,9018496, ,900343,0, , 
S3,5607209018524,9018524, ,900886,0, , 
S11,5626309019723,9019723, ,25051,0, , 
R27,5606349015907,9015907, ,901211,0, , 
RE_7,5603729018274,9018274, ,900125,0, , 
XP1,5605229018381,9018381, ,900362,0, , 
S3,5606469018472,9018472, ,900856,0, , 
R22,5630229019974,9019974, ,910078,0, , 
R27,5605629012934,9012934, ,902277,0, , 
XP2,5602209018168,9018168, ,910354,0, , 
R16,5602909018215,9018215, ,900612,0, , 
R27,5603139018229,9018229, ,900265,0, , 
S3,5604289018315,9018315, ,900809,0, , 
S3,5607889018567,9018567, ,900892,0, , 
R16,5604559015763,9015763, ,901646,0, , 
R3,5609499013303,9013303, ,901053,0, , 
S11,5598809017882,9017882, ,25019,0, , 
R22,5608569013220,9013220, ,912062,0, , 
RE_1,5605999018438,9018438, ,900026,0, , 
R22,5608799018631,9018631, ,910040,0, , 
S3,5603859018286,9018286, ,900875,0, , 
S3,5605589018407,9018407, ,900803,0, , 
XP1,5606899018503,9018503, ,900380,0, , 
R17,5606139015889,9015889, ,901163,0, , 
S11,5598269017843,9017843, ,25058,0, , 
XP1,5630239019975,9019975, ,900356,0, , 
R17,5608269018593,9018593, ,900150,0, , 
XP1,5605679018414,9018414, ,900366,0, , 
R22,5602869018211,9018211, ,910091,0, , 
S11,5618969019272,9019272, ,25023,0, , 
R16,5603479018259,9018259, ,900637,0, , 
RE_3,5609599016162,9016162, ,901017,0, , 
R27,5606129015888,9015888, ,901263,0, , 
R34,5598849015249,9015249, ,10590,0, , 
R14,5598939015255,9015255, ,10780,0, , 
R1,5599819015338,9015338, ,4930,0, , 
S50,5599839015340,9015340, ,25578,0, , 
R1,5600079015364,9015364, ,4933,0, , 
R1,5600139015370,9015370, ,4935,0, , 
R36,5610989016263,9016263, ,4883,0, , 
RE_13,5611129016273,9016273, ,2164,0, , 
S5,5611219016282,9016282, ,23074,0, , 
S7,5611359016293,9016293, ,5157,0, , 
R8,5611489016301,9016301, ,20329,0, , 
R15,5611589016309,9016309, ,5023,0, , 
R40,5611699016320,9016320, ,5197,0, , 
R31,5611809016329,9016329, ,10548,0, , 
R11,5612419016374,9016374, ,4963,0, , 
RE_13,5614069016497,9016497, ,2166,0, , 
R23,5614759016550,9016550, ,10404,0, , 
R13,5615069016577,9016577, ,5268,0, , 
R32,5615259016591,9016591, ,10516,0, , 
S1,5615869016635,9016635, ,23255,0, , 
R11,5616289016666,9016666, ,4945,0, , 
RE_13,5616689016695,9016695, ,3998,0, , 
R32,5617029016724,9016724, ,10547,0, , 
S1,5617329016745,9016745, ,23223,0, , 
R25,5617809016779,9016779, ,10181,0, , 
R36,5618199016806,9016806, ,4865,0, , 
R18,5618499016830,9016830, ,5214,0, , 
S9,5618899016864,9016864, ,24124,0, , 
R15,5619119016880,9016880, ,5016,0, , 
S2,5621539014318,9014318, ,20227,0, , 
S2,5621749014338,9014338, ,20252,0, , 
S2,5622789014425,9014425, ,20246,0, , 
R21,5623299014471,9014471, ,20327,0, , 
R4,5623329014474,9014474, ,10917,0, , 
R2,5623699014500,9014500, ,24770,0, , 
S11,5598479012246,9012246, ,25251,0, , 
S11,5598869012278,9012278, ,25247,0, , 
R8,5616059013861,9013861, ,20350,0, , 
R6,5598929012284,9012284, ,10452,0, , 
S13,5616529013898,9013898, ,23125,0, , 
S6,5624929014605,9014605, ,10653,0, , 
RE_6,5617169013953,9013953, ,2056,0, , 
S2,5617659013995,9013995, ,20253,0, , 
RE_6,5626159014712,9014712, ,2092,0, , 
S13,5627129014799,9014799, ,23111,0, , 
S6,5627239014808,9014808, ,10629,0, , 
S8,5627259014810,9014810, ,10898,0, , 
S11,5611479013473,9013473, ,25241,0, , 
R33,5619629014157,9014157, ,24198,0, , 
S9,5597439017789,9017789, ,24143,0, , 
RE_6,5597589017797,9017797, ,2081,0, , 
R38,5597829017813,9017813, ,20413,0, , 
R4,5597839017814,9017814, ,10914,0, , 
R38,5598099017830,9017830, ,20417,0, , 
S9,5598179017835,9017835, ,24161,0, , 
RE_8,5598239017840,9017840, ,2561,0, , 
